event,method,n,breaches,rate,mean_area,block_low,block_high
ridgecrest,Bonferroni,15,0,0.0,0.0,0.0,0.0
ridgecrest,Gaussian,15,14,0.9333333333333333,0.3505274772468105,0.8,1.0
ridgecrest,Global-map,15,10,0.6666666666666666,0.10938862798551674,0.4666666666666667,0.8666666666666667
ridgecrest,Pooled,15,14,0.9333333333333333,0.2524875089925636,0.8,1.0
ridgecrest,Regional-max,15,8,0.5333333333333333,0.07568100480971984,0.26666666666666666,0.8666666666666667
ridgecrest,Regional-pool,15,12,0.8,0.25107384758516266,0.6666666666666666,0.9333333333333333
ridgecrest,Repaired-max,15,5,0.3333333333333333,0.02220093244002424,0.13333333333333333,0.5333333333333333
ridgecrest,Unscaled-max,15,8,0.5333333333333333,0.057863103393997535,0.26666666666666666,0.8666666666666667
turkey,Bonferroni,53,3,0.05660377358490566,0.010551021561824907,0.0,0.16981132075471697
turkey,Gaussian,53,52,0.9811320754716981,0.31799765939723174,0.9433962264150944,1.0
turkey,Global-map,53,8,0.1509433962264151,0.018228103478130867,0.018867924528301886,0.32075471698113206
turkey,Pooled,53,18,0.33962264150943394,0.05050096677821206,0.1509433962264151,0.5471698113207547
turkey,Regional-max,53,4,0.07547169811320754,0.01301256777162794,0.0,0.18867924528301888
turkey,Regional-pool,53,24,0.4528301886792453,0.05301296336741174,0.2641509433962264,0.6415094339622641
turkey,Repaired-max,53,3,0.05660377358490566,0.008781302349737945,0.0,0.16981132075471697
turkey,Unscaled-max,53,3,0.05660377358490566,0.009038054357697858,0.0,0.16981132075471697
morocco,Bonferroni,53,11,0.20754716981132076,0.02187651492098227,0.07547169811320754,0.33962264150943394
morocco,Gaussian,53,29,0.5471698113207547,0.09675369317305046,0.37735849056603776,0.7169811320754716
morocco,Global-map,53,19,0.3584905660377358,0.04235305845415961,0.20754716981132076,0.5283018867924528
morocco,Pooled,53,29,0.5471698113207547,0.09847531746868786,0.37735849056603776,0.7169811320754716
morocco,Regional-max,53,8,0.1509433962264151,0.01280982013665434,0.03773584905660377,0.2830188679245283
morocco,Regional-pool,53,31,0.5849056603773585,0.11024903362517839,0.4339622641509434,0.7358490566037735
morocco,Repaired-max,53,7,0.1320754716981132,0.011674568192516468,0.018867924528301886,0.2830188679245283
morocco,Unscaled-max,53,14,0.2641509433962264,0.025144377823855018,0.1320754716981132,0.41509433962264153
