event,method,n,breaches,rate,mean_area
ridgecrest,Bonferroni,15,0,0.0,0.0
ridgecrest,Gaussian,15,7,0.4666666666666667,0.040553393719381485
ridgecrest,Global-map,15,13,0.8666666666666667,0.0912666669590894
ridgecrest,Pooled,15,15,1.0,0.17538305805300247
ridgecrest,Regional-max,15,10,0.6666666666666666,0.05956357244525813
ridgecrest,Regional-pool,15,14,0.9333333333333333,0.17217237760006024
ridgecrest,Repaired-max,15,7,0.4666666666666667,0.0408047176621047
ridgecrest,Unscaled-max,15,10,0.6666666666666666,0.0584859714255964
turkey,Bonferroni,53,4,0.07547169811320754,0.009513954040620208
turkey,Gaussian,53,9,0.16981132075471697,0.015809409373339946
turkey,Global-map,53,3,0.05660377358490566,0.005910383687620983
turkey,Pooled,53,16,0.3018867924528302,0.04054229473670424
turkey,Regional-max,53,0,0.0,0.0024118273478265662
turkey,Regional-pool,53,32,0.6037735849056604,0.05964113788412552
turkey,Repaired-max,53,0,0.0,0.0023283357407498304
turkey,Unscaled-max,53,0,0.0,0.0019534040226798686
morocco,Bonferroni,53,1,0.018867924528301886,0.0032931497856696986
morocco,Gaussian,53,12,0.22641509433962265,0.01761969146524122
morocco,Global-map,53,28,0.5283018867924528,0.04759711358887733
morocco,Pooled,53,34,0.6415094339622641,0.08343761422018227
morocco,Regional-max,53,23,0.4339622641509434,0.03521390667476826
morocco,Regional-pool,53,33,0.6226415094339622,0.08487042487548782
morocco,Repaired-max,53,12,0.22641509433962265,0.01735046168278552
morocco,Unscaled-max,53,22,0.41509433962264153,0.035944626307023775
