event,method,delta,dates,patches,mean,low,high
ridgecrest,Bonferroni,0.05,15,120,0.0,0.0,0.0
ridgecrest,Bonferroni,0.1,15,120,0.0,0.0,0.0
ridgecrest,Bonferroni,0.2,15,120,0.0,0.0,0.0
ridgecrest,Bonferroni,0.30000000000000004,15,120,0.0,0.0,0.0
ridgecrest,Gaussian,0.05,15,120,0.45451275739687574,0.3545646398621565,0.5570002540791542
ridgecrest,Gaussian,0.1,15,120,0.5821731525187649,0.4992451606509833,0.6629020663061352
ridgecrest,Gaussian,0.2,15,120,0.8009427456887757,0.7416247562974442,0.8523518369983321
ridgecrest,Gaussian,0.30000000000000004,15,120,0.9275768747046823,0.8904281725161161,0.9572560333545912
ridgecrest,Global-map,0.05,15,120,0.15031694371053225,0.06753592437950107,0.23643486741161857
ridgecrest,Global-map,0.1,15,120,0.2101723360620692,0.12116578445130574,0.30383385564397525
ridgecrest,Global-map,0.2,15,120,0.35913992701523884,0.27058371500258716,0.45147774009717606
ridgecrest,Global-map,0.30000000000000004,15,120,0.5237605939111535,0.44922577077082665,0.602184362471249
ridgecrest,Pooled,0.05,15,120,0.3280200680098899,0.2172580199869001,0.4429704821315831
ridgecrest,Pooled,0.1,15,120,0.4290360334210534,0.33616235825213175,0.5290247184171611
ridgecrest,Pooled,0.2,15,120,0.6394019607449125,0.5698912947760945,0.7069230134289678
ridgecrest,Pooled,0.30000000000000004,15,120,0.811857269478541,0.7606531447282379,0.8585023753371788
ridgecrest,Regional-max,0.05,15,120,0.11310514849075094,0.041665553910550955,0.188350501149581
ridgecrest,Regional-max,0.1,15,120,0.1641730150629596,0.07666085794066287,0.25522509137470456
ridgecrest,Regional-max,0.2,15,120,0.2927631095944678,0.19440158891663487,0.39563345470800293
ridgecrest,Regional-max,0.30000000000000004,15,120,0.44310352423068095,0.3510976344775517,0.5415239422491668
ridgecrest,Regional-pool,0.05,15,120,0.3353908495635817,0.2115169004117589,0.4633725903526427
ridgecrest,Regional-pool,0.1,15,120,0.4405617063888413,0.3370940478486996,0.5523323710056066
ridgecrest,Regional-pool,0.2,15,120,0.6674789128169901,0.5915082065030673,0.7360794922380287
ridgecrest,Regional-pool,0.30000000000000004,15,120,0.846710176363533,0.7931363501228393,0.8915501694598152
ridgecrest,Repaired-max,0.05,15,120,0.04840944119943492,0.013456288816350146,0.08484066710479297
ridgecrest,Repaired-max,0.1,15,120,0.0747103902283479,0.025807516558760814,0.12534100685678318
ridgecrest,Repaired-max,0.2,15,120,0.1520711968891368,0.08077071436466739,0.2264691742294433
ridgecrest,Repaired-max,0.30000000000000004,15,120,0.2663164297840791,0.1792212221385024,0.35835700086541544
ridgecrest,Unscaled-max,0.05,15,120,0.0901432479719579,0.03408912884608616,0.14965364520506375
ridgecrest,Unscaled-max,0.1,15,120,0.12896160626981398,0.05934076438211466,0.20138419728914833
ridgecrest,Unscaled-max,0.2,15,120,0.24104427460075337,0.15714174783728319,0.3280995522214477
ridgecrest,Unscaled-max,0.30000000000000004,15,120,0.381299929626254,0.2989672347978532,0.4682425135819971
turkey,Bonferroni,0.05,53,424,0.034938461844524385,0.0038837574713369233,0.07989871608581324
turkey,Bonferroni,0.1,53,424,0.05177727924921269,0.00792952009974206,0.1150104046055779
turkey,Bonferroni,0.2,53,424,0.07939601273867826,0.023750550359272482,0.15671477543587253
turkey,Bonferroni,0.30000000000000004,53,424,0.12550783224873624,0.06414641763502998,0.20649990900626428
turkey,Gaussian,0.05,53,424,0.43343966711441084,0.31280182809086443,0.5654750461510503
turkey,Gaussian,0.1,53,424,0.533381983671851,0.4165338006934405,0.6570719056789351
turkey,Gaussian,0.2,53,424,0.7436721761738478,0.6558940781565817,0.8268641935761004
turkey,Gaussian,0.30000000000000004,53,424,0.8954138920397577,0.8515218115001004,0.9363514073159277
turkey,Global-map,0.05,53,424,0.05859162013258948,0.008162663471857933,0.12682529524108355
turkey,Global-map,0.1,53,424,0.08195564386271445,0.01500251508825835,0.17304918761710594
turkey,Global-map,0.2,53,424,0.12174009797677508,0.04032707683964646,0.23095429606282356
turkey,Global-map,0.30000000000000004,53,424,0.18592412490802895,0.0975460023970974,0.29319669653287384
turkey,Pooled,0.05,53,424,0.10448984518734392,0.025215768044880068,0.2065853745215586
turkey,Pooled,0.1,53,424,0.1349165058225414,0.04263161416523034,0.253148636549375
turkey,Pooled,0.2,53,424,0.2056828893604898,0.10166889089560029,0.3323241959393125
turkey,Pooled,0.30000000000000004,53,424,0.31724064815782915,0.2069607647930523,0.44331532084205244
turkey,Regional-max,0.05,53,424,0.03689959103746703,0.005276632178973261,0.08216400778250622
turkey,Regional-max,0.1,53,424,0.05438659688752438,0.010352296409126946,0.11723193724514859
turkey,Regional-max,0.2,53,424,0.08518444139184658,0.0296281801906561,0.162609011601072
turkey,Regional-max,0.30000000000000004,53,424,0.1373238519948117,0.07623109876537204,0.2158153827687307
turkey,Regional-pool,0.05,53,424,0.09534096340652762,0.026255869367980557,0.1860782108299539
turkey,Regional-pool,0.1,53,424,0.1278960997121373,0.0446306958555329,0.2353412581641227
turkey,Regional-pool,0.2,53,424,0.2007289170645411,0.10590618036439793,0.3180948284757163
turkey,Regional-pool,0.30000000000000004,53,424,0.30972442462337013,0.2070766465225299,0.4259655254628831
turkey,Repaired-max,0.05,53,424,0.026630038308086617,0.0031173042286659113,0.06147506452655986
turkey,Repaired-max,0.1,53,424,0.039945837137051424,0.006274904114147881,0.08876485009166998
turkey,Repaired-max,0.2,53,424,0.06167658381312255,0.019083232091424596,0.12237940828672926
turkey,Repaired-max,0.30000000000000004,53,424,0.09945995647152364,0.05161889000669901,0.16320168680064806
turkey,Unscaled-max,0.05,53,424,0.03851427680380505,0.004071456492365467,0.08623441005108223
turkey,Unscaled-max,0.1,53,424,0.05721723505847386,0.00816952968110893,0.1253407005969814
turkey,Unscaled-max,0.2,53,424,0.08499224880736136,0.023526566218675316,0.1699913130726468
turkey,Unscaled-max,0.30000000000000004,53,424,0.12900725032987895,0.06073506036563469,0.21775483771081774
morocco,Bonferroni,0.05,53,424,0.034358493230101726,0.018137288093851116,0.055486002240745194
morocco,Bonferroni,0.1,53,424,0.057582707959071604,0.03363601980220621,0.08686256079692382
morocco,Bonferroni,0.2,53,424,0.15084157996147146,0.10511031892987617,0.2047272835712182
morocco,Bonferroni,0.30000000000000004,53,424,0.32623486683163017,0.254334022716354,0.40291549178002817
morocco,Gaussian,0.05,53,424,0.14121440291785872,0.09417130368722186,0.19658976505758033
morocco,Gaussian,0.1,53,424,0.22514409933510243,0.16021746090309913,0.2964286207917256
morocco,Gaussian,0.2,53,424,0.4614685881082518,0.3728080750752199,0.5523003986603673
morocco,Gaussian,0.30000000000000004,53,424,0.715362008865562,0.6438001691629558,0.7829093474220368
morocco,Global-map,0.05,53,424,0.06061751331581155,0.03552608704164799,0.09147660097967275
morocco,Global-map,0.1,53,424,0.10050194558592729,0.06423381327460898,0.14432552946739718
morocco,Global-map,0.2,53,424,0.24854474951278618,0.18357388410082512,0.3193508437246583
morocco,Global-map,0.30000000000000004,53,424,0.47485758218106733,0.3934341125338848,0.5592521513063812
morocco,Pooled,0.05,53,424,0.14392272431143266,0.09629291179400336,0.1999456403218939
morocco,Pooled,0.1,53,424,0.22906917169112645,0.163307729665783,0.30125786376200997
morocco,Pooled,0.2,53,424,0.46706636854309286,0.37800137922112004,0.5577891589086809
morocco,Pooled,0.30000000000000004,53,424,0.7205228992011017,0.6495508965663829,0.7875202178100269
morocco,Regional-max,0.05,53,424,0.023850627168547266,0.01169503333597736,0.04004932122424608
morocco,Regional-max,0.1,53,424,0.04220461808800739,0.023898920018175767,0.06605958940059455
morocco,Regional-max,0.2,53,424,0.11900617577052124,0.08086083087097104,0.1655621892668147
morocco,Regional-max,0.30000000000000004,53,424,0.2709207613848018,0.207179442037105,0.34094179729552104
morocco,Regional-pool,0.05,53,424,0.14802597837690548,0.1015449821013104,0.20220328094383438
morocco,Regional-pool,0.1,53,424,0.22959325652440535,0.16717411845227895,0.29957710336404547
morocco,Regional-pool,0.2,53,424,0.45690071896036305,0.37024912801142823,0.5421930729888971
morocco,Regional-pool,0.30000000000000004,53,424,0.7048939866717724,0.6345540602276596,0.7717115699094361
morocco,Repaired-max,0.05,53,424,0.02213467368551497,0.010629785025524394,0.037631998797056976
morocco,Repaired-max,0.1,53,424,0.03928182631797536,0.02180020762632037,0.061891487380365325
morocco,Repaired-max,0.2,53,424,0.11131023213058283,0.07487669677384631,0.15541283106962647
morocco,Repaired-max,0.30000000000000004,53,424,0.25703943775556104,0.1958321491140299,0.3255136352904512
morocco,Unscaled-max,0.05,53,424,0.037859670993747034,0.020356611608898272,0.060866079030464475
morocco,Unscaled-max,0.1,53,424,0.0632377390974683,0.03772137998441395,0.09482298178425227
morocco,Unscaled-max,0.2,53,424,0.16474152176281917,0.11611246252746585,0.22141140176682655
morocco,Unscaled-max,0.30000000000000004,53,424,0.35012927249464865,0.27648696489986,0.4284809364935619
