scenario,method,repetitions,breaches,rate,area,recall
common-shock,Bonferroni,50000,3044,0.06088,0.004665859375,0.60648125
common-shock,Gaussian,50000,22802,0.45604,0.0501434765625,0.9121571875
common-shock,Global-map,50000,10122,0.20244,0.01812392578125,0.8056965625
common-shock,Pooled,50000,23045,0.4609,0.05215728515625,0.91201375
common-shock,Regional-max,50000,5070,0.1014,0.00755880859375,0.66909875
common-shock,Regional-pool,50000,23253,0.46506,0.05244888671875,0.911913125
common-shock,Repaired-max,50000,2518,0.05036,0.00371095703125,0.5557396875
common-shock,Unscaled-max,50000,5049,0.10098,0.0085181640625,0.714635
common-shock,corrupt-repaired,50000,5070,0.1014,0.00755880859375,
common-shock,corrupt-unrepaired,50000,7609,0.15218,0.01176091796875,
heterogeneous,Bonferroni,50000,3041,0.06082,0.00463505859375,0.962824375
heterogeneous,Gaussian,50000,36510,0.7302,0.07896326171875,0.98105375
heterogeneous,Global-map,50000,13681,0.27362,0.017512265625,0.5281509375
heterogeneous,Pooled,50000,29406,0.58812,0.0514843359375,0.9192234375
heterogeneous,Regional-max,50000,5046,0.10092,0.007609296875,0.9742515625
heterogeneous,Regional-pool,50000,23019,0.46038,0.05260880859375,0.998441875
heterogeneous,Repaired-max,50000,2583,0.05166,0.00372205078125,0.9448709375
heterogeneous,Unscaled-max,50000,5033,0.10066,0.0059190234375,0.168971875
heterogeneous,corrupt-repaired,50000,5046,0.10092,0.007609296875,
heterogeneous,corrupt-unrepaired,50000,7540,0.1508,0.01183412109375,
independent,Bonferroni,50000,4908,0.09816,0.02584388671875,0.8522809375
independent,Gaussian,50000,47328,0.94656,0.04998958984375,0.912326875
independent,Global-map,50000,36318,0.72636,0.0418921484375,0.8981921875
independent,Pooled,50000,47224,0.94448,0.0499996875,0.9122915625
independent,Regional-max,50000,5108,0.10216,0.0268553515625,0.8571578125
independent,Regional-pool,50000,47374,0.94748,0.0500740234375,0.912280625
independent,Repaired-max,50000,2509,0.05018,0.02395470703125,0.8455053125
independent,Unscaled-max,50000,5095,0.1019,0.02715236328125,0.8585534375
independent,corrupt-repaired,50000,5108,0.10216,0.0268553515625,
independent,corrupt-unrepaired,50000,7640,0.1528,0.02874263671875,
mean-shift,Bonferroni,50000,17470,0.3494,0.0338331640625,0.8492546875
mean-shift,Gaussian,50000,43746,0.87492,0.19949234375,0.984825
mean-shift,Global-map,50000,32389,0.64778,0.0961924609375,0.9513315625
mean-shift,Pooled,50000,43692,0.87384,0.20387814453125,0.9846015625
mean-shift,Regional-max,50000,23303,0.46606,0.048617109375,0.8837684375
mean-shift,Regional-pool,50000,43774,0.87548,0.2044355078125,0.9844546875
mean-shift,Repaired-max,50000,15684,0.31368,0.02774861328125,0.809191875
mean-shift,Unscaled-max,50000,23500,0.47,0.05529978515625,0.9130965625
mean-shift,corrupt-repaired,50000,23303,0.46606,0.048617109375,
mean-shift,corrupt-unrepaired,50000,28386,0.56772,0.06845052734375,
spatial,Bonferroni,50000,4782,0.09564,0.00872193359375,0.713895625
spatial,Gaussian,50000,44158,0.88316,0.049948203125,0.91212625
spatial,Global-map,50000,29262,0.58524,0.02971509765625,0.8666075
spatial,Pooled,50000,44070,0.8814,0.05006578125,0.9121865625
spatial,Regional-max,50000,4945,0.0989,0.0089040625,0.715586875
spatial,Regional-pool,50000,44295,0.8859,0.0504175390625,0.9120878125
spatial,Repaired-max,50000,2437,0.04874,0.00598337890625,0.6550934375
spatial,Unscaled-max,50000,5020,0.1004,0.0096878125,0.742115
spatial,corrupt-repaired,50000,4945,0.0989,0.0089040625,
spatial,corrupt-unrepaired,50000,7407,0.14814,0.01127919921875,
temporal-AR,Bonferroni,50000,4335,0.0867,0.00619044921875,0.6706121875
temporal-AR,Gaussian,50000,22704,0.45408,0.050327890625,0.912894375
temporal-AR,Global-map,50000,12055,0.2411,0.02077681640625,0.8255365625
temporal-AR,Pooled,50000,25174,0.50348,0.05756677734375,0.921066875
temporal-AR,Regional-max,50000,5930,0.1186,0.00851923828125,0.6936428125
temporal-AR,Regional-pool,50000,25417,0.50834,0.05787822265625,0.921031875
temporal-AR,Repaired-max,50000,3221,0.06442,0.00452921875,0.6019934375
temporal-AR,Unscaled-max,50000,5933,0.11866,0.009588828125,0.7399590625
temporal-AR,corrupt-repaired,50000,5930,0.1186,0.00851923828125,
temporal-AR,corrupt-unrepaired,50000,8514,0.17028,0.012762109375,
